UniqueID,SL_EMP_EARN BOTHSEX              isco08          ,SL_EMP_EARN BOTHSEX              isco08-0          ,SL_EMP_EARN BOTHSEX              isco08-1          ,SL_EMP_EARN BOTHSEX              isco08-2          ,SL_EMP_EARN BOTHSEX              isco08-3          ,SL_EMP_EARN BOTHSEX              isco08-4          ,SL_EMP_EARN BOTHSEX              isco08-5          ,SL_EMP_EARN BOTHSEX              isco08-6          ,SL_EMP_EARN BOTHSEX              isco08-7          ,SL_EMP_EARN BOTHSEX              isco08-8          ,SL_EMP_EARN BOTHSEX              isco08-9          ,SL_EMP_EARN FEMALE              isco08          ,SL_EMP_EARN FEMALE              isco08-0          ,SL_EMP_EARN FEMALE              isco08-1          ,SL_EMP_EARN FEMALE              isco08-2          ,SL_EMP_EARN FEMALE              isco08-3          ,SL_EMP_EARN FEMALE              isco08-4          ,SL_EMP_EARN FEMALE              isco08-5          ,SL_EMP_EARN FEMALE              isco08-6          ,SL_EMP_EARN FEMALE              isco08-7          ,SL_EMP_EARN FEMALE              isco08-8          ,SL_EMP_EARN FEMALE              isco08-9          ,SL_EMP_EARN MALE              isco08          ,SL_EMP_EARN MALE              isco08-0          ,SL_EMP_EARN MALE              isco08-1          ,SL_EMP_EARN MALE              isco08-2          ,SL_EMP_EARN MALE              isco08-3          ,SL_EMP_EARN MALE              isco08-4          ,SL_EMP_EARN MALE              isco08-5          ,SL_EMP_EARN MALE              isco08-6          ,SL_EMP_EARN MALE              isco08-7          ,SL_EMP_EARN MALE              isco08-8          ,SL_EMP_EARN MALE              isco08-9          
SL_EMP_EARN BOTHSEX              isco08-9          ,1.0,1.0,1.0,-1.0000000000000002,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0000000000000002,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,-1.0,-1.0,1.0,0.9999999999999999,1.0,1.0,1.0
SL_EMP_EARN FEMALE              isco08          ,1.0000000000000002,1.0000000000000002,1.0000000000000002,-1.0000000000000002,-1.0,-1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,-1.0000000000000002,-1.0,1.0000000000000002,-1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,-1.0000000000000002,-1.0000000000000002,0.9999999999999998,1.0,1.0,1.0,1.0
SL_EMP_EARN FEMALE              isco08-0          ,1.0,1.0000000000000002,1.0,-1.0,-0.9999999999999998,-0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,-1.0000000000000002,-1.0,1.0000000000000002,-1.0,0.9999999999999998,0.9999999999999999,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,-1.0,-1.0,1.0,0.9999999999999998,1.0000000000000002,1.0,1.0
SL_EMP_EARN FEMALE              isco08-1          ,-1.0,-1.0000000000000002,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0000000000000002,-1.0,-1.0000000000000002,-1.0000000000000002,1.0,1.0,-1.0,1.0,-1.0000000000000002,-1.0000000000000002,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SL_EMP_EARN FEMALE              isco08-2          ,-1.0000000000000002,-1.0,-1.0000000000000002,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0,-1.0,-0.9999999999999998,-1.0,-1.0,-1.0
SL_EMP_EARN FEMALE              isco08-3          ,1.0000000000000002,1.0000000000000002,1.0,-1.0000000000000002,-1.0,-1.0,1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,-1.0,-1.0,1.0,-1.0,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999998,-1.0,-1.0,1.0,0.9999999999999998,1.0,1.0,1.0
SL_EMP_EARN FEMALE              isco08-4          ,-1.0,-1.0,-1.0,0.9999999999999999,1.0,0.9999999999999998,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.9999999999999999,-1.0,1.0,-0.9999999999999998,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0000000000000002,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0
SL_EMP_EARN FEMALE              isco08-5          ,1.0,1.0,1.0,-1.0000000000000002,-1.0,-0.9999999999999999,1.0,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,0.9999999999999998,-1.0000000000000002,-1.0,1.0,-0.9999999999999998,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,-1.0,-1.0,1.0,0.9999999999999999,1.0,1.0,1.0
SL_EMP_EARN FEMALE              isco08-6          ,1.0,1.0000000000000002,1.0000000000000002,-1.0,-1.0,-0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,-1.0000000000000002,-1.0,1.0000000000000002,-1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,-1.0000000000000002,-1.0,1.0,1.0,1.0,1.0,1.0000000000000002
SL_EMP_EARN FEMALE              isco08-7          ,1.0000000000000002,1.0000000000000002,1.0,-1.0000000000000002,-1.0,-1.0,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,-1.0,-1.0,1.0000000000000002,-1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0000000000000002,1.0,1.0
SL_EMP_EARN FEMALE              isco08-8          ,1.0,1.0,1.0000000000000002,-1.0,-1.0,-1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.9999999999999999,1.0,1.0,1.0
SL_EMP_EARN FEMALE              isco08-9          ,1.0000000000000002,1.0,1.0000000000000002,-1.0,-1.0,-1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0,-1.0,-1.0,1.0000000000000002,-0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0000000000000002,-1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0
SL_EMP_EARN MALE              isco08          ,1.0,1.0,1.0000000000000002,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,-1.0,-1.0,1.0,-1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,-1.0,-1.0,1.0,0.9999999999999999,1.0,1.0,1.0
SL_EMP_EARN MALE              isco08-0          ,1.0000000000000002,1.0,1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0000000000000002,-1.0,1.0,1.0000000000000002,1.0,1.0,1.0
SL_EMP_EARN MALE              isco08-1          ,1.0000000000000002,0.9999999999999998,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0
SL_EMP_EARN MALE              isco08-2          ,0.9999999999999999,1.0,1.0,-1.0000000000000002,-1.0,-1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,1.0000000000000002,1.0000000000000002,-1.0,-1.0,0.9999999999999998,-1.0,1.0000000000000002,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0000000000000002,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.9999999999999998
SL_EMP_EARN MALE              isco08-3          ,-1.0,-1.0000000000000002,-1.0000000000000002,1.0,1.0,1.0,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0,-1.0000000000000002,-1.0,1.0,1.0000000000000002,-1.0,1.0,-1.0,-1.0000000000000002,-1.0,-1.0,-1.0000000000000002,-1.0,-1.0000000000000002,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0000000000000002,-1.0,-1.0
SL_EMP_EARN MALE              isco08-4          ,-1.0000000000000002,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0000000000000002,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0000000000000002,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-0.9999999999999998,-1.0,-1.0,-1.0
SL_EMP_EARN MALE              isco08-5          ,1.0000000000000002,1.0,1.0,-1.0000000000000002,-1.0,-1.0000000000000002,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0000000000000002,1.0,1.0
SL_EMP_EARN MALE              isco08-6          ,1.0,1.0,1.0,-1.0000000000000002,-1.0,-0.9999999999999999,1.0000000000000002,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,-1.0,-0.9999999999999998,0.9999999999999998,-1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0000000000000002,1.0,1.0,-1.0,-0.9999999999999998,1.0,1.0,1.0,0.9999999999999998,1.0
SL_EMP_EARN MALE              isco08-7          ,1.0000000000000002,1.0,1.0000000000000002,-1.0000000000000002,-1.0,-1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,-1.0,-1.0,1.0,-0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,-1.0000000000000002,-1.0,1.0000000000000002,1.0,1.0,1.0,1.0
SL_EMP_EARN MALE              isco08-8          ,1.0,1.0,1.0,-1.0000000000000002,-1.0,-0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.9999999999999998,1.0,1.0,1.0
SL_EMP_EARN MALE              isco08-9          ,1.0000000000000002,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0
